id_country,show_id
2,s1
3,s2
1,s3
1,s4
4,s5
1,s6
1,s7
2,s8
5,s8
6,s8
7,s8
8,s8
9,s8
7,s9
2,s10
1,s11
1,s12
8,s13
10,s13
1,s14
1,s15
2,s16
1,s17
11,s18
1,s19
1,s20
1,s21
12,s22
1,s23
1,s24
4,s25
13,s26
1,s27
2,s28
2,s29
2,s30
4,s30
14,s30
1,s31
1,s32
7,s33
1,s34
1,s35
1,s36
1,s37
15,s38
16,s39
17,s39
2,s39
4,s40
2,s41
2,s42
2,s43
2,s44
2,s45
1,s46
3,s47
2,s47
18,s47
1,s48
2,s49
19,s50
4,s51
18,s52
18,s53
18,s54
18,s55
2,s56
18,s57
18,s58
18,s59
18,s60
18,s61
18,s62
18,s63
18,s64
1,s65
7,s66
4,s67
2,s68
1,s69
4,s70
1,s71
1,s72
7,s73
19,s74
1,s75
1,s76
18,s77
1,s78
1,s79
1,s80
1,s81
2,s82
2,s83
1,s84
19,s85
1,s86
1,s87
1,s88
1,s89
1,s90
20,s91
2,s91
14,s92
21,s93
1,s94
7,s95
2,s95
2,s96
7,s96
2,s97
2,s98
7,s99
14,s100
2,s100
1,s101
2,s102
1,s103
1,s104
22,s105
4,s106
2,s107
2,s108
13,s109
20,s110
1,s111
2,s112
23,s112
1,s113
1,s114
4,s115
7,s116
13,s116
14,s116
4,s117
7,s118
2,s118
4,s119
1,s120
13,s121
1,s122
7,s123
13,s123
14,s123
2,s123
1,s124
22,s125
2,s126
4,s127
2,s128
17,s128
1,s129
8,s130
2,s130
1,s131
2,s132
1,s133
3,s134
2,s134
2,s135
11,s135
2,s136
24,s136
14,s136
18,s136
2,s137
24,s137
25,s137
7,s137
13,s138
2,s138
2,s139
2,s140
26,s141
27,s141
2,s142
7,s142
17,s142
8,s143
2,s143
2,s144
2,s145
2,s146
2,s147
1,s148
1,s149
2,s150
2,s151
16,s152
28,s152
2,s153
29,s154
18,s155
7,s156
2,s156
2,s157
17,s158
2,s159
28,s160
2,s161
2,s162
2,s163
16,s163
28,s163
2,s164
2,s165
1,s166
24,s167
2,s167
2,s168
17,s168
2,s169
2,s170
2,s171
2,s172
2,s173
8,s173
2,s174
2,s175
2,s176
2,s177
7,s178
2,s178
2,s179
2,s180
1,s181
1,s182
2,s183
2,s184
2,s185
1,s186
1,s187
1,s188
14,s189
1,s190
4,s191
7,s192
17,s192
2,s192
4,s193
22,s194
1,s195
4,s196
1,s197
1,s198
19,s199
4,s200
4,s201
4,s202
4,s203
4,s204
4,s205
4,s206
4,s207
4,s208
4,s209
4,s210
4,s211
4,s212
30,s213
1,s214
1,s215
4,s216
4,s217
4,s218
1,s219
18,s220
2,s221
1,s222
1,s223
1,s224
1,s225
1,s226
1,s227
2,s228
2,s229
7,s229
2,s230
1,s231
2,s232
2,s233
7,s234
1,s235
1,s236
1,s237
1,s238
1,s239
1,s240
1,s241
2,s242
1,s243
