id_duration,duration_value,duration_unit
1,0,No Duration
2,90,min
3,2,Seasons
4,1,Season
5,91,min
6,125,min
7,9,Seasons
8,104,min
9,127,min
10,4,Seasons
11,67,min
12,94,min
13,5,Seasons
14,161,min
15,61,min
16,166,min
17,147,min
18,103,min
19,97,min
20,106,min
21,111,min
22,3,Seasons
23,110,min
24,105,min
25,96,min
26,124,min
27,116,min
28,98,min
29,23,min
30,115,min
31,122,min
32,99,min
33,88,min
34,100,min
35,6,Seasons
36,102,min
37,93,min
38,95,min
39,85,min
40,83,min
41,113,min
42,13,min
43,182,min
44,48,min
45,145,min
46,87,min
47,92,min
48,80,min
49,117,min
50,128,min
51,119,min
52,143,min
53,114,min
54,118,min
55,108,min
56,63,min
57,121,min
58,142,min
59,154,min
60,120,min
61,82,min
62,109,min
63,101,min
64,86,min
65,229,min
66,76,min
67,89,min
68,156,min
69,112,min
70,107,min
71,129,min
72,135,min
73,136,min
74,165,min
75,150,min
76,133,min
77,70,min
78,84,min
79,140,min
80,78,min
81,7,Seasons
82,64,min
83,59,min
84,139,min
85,69,min
86,148,min
87,189,min
88,141,min
89,130,min
90,138,min
91,81,min
92,132,min
93,10,Seasons
94,123,min
95,65,min
96,68,min
97,66,min
98,62,min
99,74,min
100,131,min
101,39,min
102,46,min
103,38,min
104,8,Seasons
105,17,Seasons
106,126,min
107,155,min
108,159,min
109,137,min
110,12,min
111,273,min
112,36,min
113,34,min
114,77,min
115,60,min
116,49,min
117,58,min
118,72,min
119,204,min
120,212,min
121,25,min
122,73,min
123,29,min
124,47,min
125,32,min
126,35,min
127,71,min
128,149,min
129,33,min
130,15,min
131,54,min
132,224,min
133,162,min
134,37,min
135,75,min
136,79,min
137,55,min
138,158,min
139,164,min
140,173,min
141,181,min
142,185,min
143,21,min
144,24,min
145,51,min
146,151,min
147,42,min
148,22,min
149,134,min
150,177,min
151,13,Seasons
152,52,min
153,14,min
154,53,min
155,8,min
156,57,min
157,28,min
158,50,min
159,9,min
160,26,min
161,45,min
162,171,min
163,27,min
164,44,min
165,146,min
166,20,min
167,157,min
168,17,min
169,203,min
170,41,min
171,30,min
172,194,min
173,15,Seasons
174,233,min
175,237,min
176,230,min
177,195,min
178,253,min
179,152,min
180,190,min
181,160,min
182,208,min
183,180,min
184,144,min
185,5,min
186,174,min
187,170,min
188,192,min
189,209,min
190,187,min
191,172,min
192,16,min
193,186,min
194,11,min
195,193,min
196,176,min
197,56,min
198,169,min
199,40,min
200,10,min
201,3,min
202,168,min
203,312,min
204,153,min
205,214,min
206,31,min
207,163,min
208,19,min
209,12,Seasons
210,179,min
211,11,Seasons
212,43,min
213,200,min
214,196,min
215,167,min
216,178,min
217,228,min
218,18,min
219,205,min
220,201,min
221,191,min
