id_listed_in,show_id
2,s1
3,s2
4,s2
5,s2
6,s3
3,s3
7,s3
8,s4
9,s4
3,s5
10,s5
11,s5
4,s6
12,s6
5,s6
13,s7
14,s8
15,s8
16,s8
17,s9
9,s9
18,s10
14,s10
6,s11
8,s11
3,s11
6,s12
3,s12
7,s12
14,s13
16,s13
13,s14
18,s14
17,s15
6,s15
8,s15
11,s16
4,s16
2,s17
16,s17
6,s18
19,s18
4,s18
20,s19
3,s20
19,s20
7,s20
6,s21
8,s21
3,s21
3,s22
7,s22
4,s22
18,s23
16,s23
13,s24
18,s25
16,s25
21,s25
8,s26
3,s26
9,s26
18,s27
16,s27
22,s27
18,s28
23,s29
24,s29
20,s30
14,s31
15,s31
16,s31
11,s32
17,s33
3,s33
11,s33
3,s34
4,s34
25,s34
26,s35
14,s36
16,s36
20,s36
27,s37
14,s37
16,s37
26,s38
11,s38
27,s39
14,s39
26,s40
26,s41
28,s41
27,s42
29,s42
14,s42
14,s43
23,s43
20,s43
27,s44
23,s44
20,s44
27,s45
23,s45
20,s45
2,s46
27,s47
3,s48
10,s48
11,s48
14,s49
20,s49
3,s50
4,s50
3,s51
4,s51
28,s51
27,s52
30,s52
16,s52
27,s53
30,s53
16,s53
27,s54
30,s54
16,s54
27,s55
30,s55
16,s55
9,s56
27,s57
30,s57
16,s57
27,s58
30,s58
16,s58
27,s59
30,s59
16,s59
27,s60
30,s60
16,s60
27,s61
30,s61
16,s61
27,s62
30,s62
16,s62
27,s63
30,s63
16,s63
27,s64
30,s64
16,s64
13,s65
26,s66
8,s67
3,s67
26,s68
11,s68
2,s69
16,s69
31,s69
3,s70
4,s70
3,s71
9,s71
10,s71
13,s72
17,s73
8,s73
3,s73
14,s74
16,s74
9,s75
13,s76
32,s77
3,s77
13,s78
18,s78
18,s79
14,s79
16,s79
18,s80
14,s80
16,s80
13,s81
27,s82
6,s83
11,s83
4,s83
9,s84
27,s85
18,s85
14,s85
32,s86
26,s86
16,s87
20,s87
26,s88
33,s88
2,s89
31,s89
26,s90
24,s91
20,s91
2,s92
16,s92
3,s93
4,s93
5,s93
14,s94
16,s94
21,s94
13,s95
18,s95
9,s96
2,s97
22,s97
26,s98
11,s98
28,s98
17,s99
26,s99
11,s100
4,s100
26,s101
2,s102
31,s102
8,s103
34,s103
14,s104
16,s104
20,s104
26,s105
33,s105
27,s106
18,s106
14,s106
26,s107
11,s107
13,s108
14,s108
26,s109
4,s109
35,s109
6,s110
3,s110
19,s110
8,s111
3,s111
19,s111
26,s112
14,s113
18,s114
21,s114
14,s115
16,s115
20,s115
14,s116
21,s116
18,s117
14,s117
15,s117
2,s118
14,s119
16,s119
20,s119
14,s120
16,s120
21,s120
26,s121
11,s121
3,s122
10,s122
11,s122
20,s123
26,s124
26,s125
33,s125
6,s126
7,s126
11,s126
14,s127
16,s127
21,s127
13,s128
18,s128
14,s129
16,s129
20,s129
14,s130
