show_id,id_type,title,id_director,date_added,release_year,id_rating,id_duration,description
s1,1,Dick Johnson Is Dead,2,2021-09-25,2020,2,2,"As her father nears the end of his life, filmmaker Kirsten Johnson stages his death in inventive and comical ways to help them both face the inevitable."
s2,2,Blood & Water,1,2021-09-24,2021,3,3,"After crossing paths at a party, a Cape Town teen sets out to prove whether a private-school swimming star is her sister who was abducted at birth."
s3,2,Ganglands,3,2021-09-24,2021,3,4,"To protect his family from a powerful drug lord, skilled thief Mehdi and his expert team of robbers are pulled into a violent and deadly turf war."
s4,2,Jailbirds New Orleans,1,2021-09-24,2021,3,4,"Feuds, flirtations and toilet talk go down among the incarcerated women at the Orleans Justice Center in New Orleans on this gritty reality series."
s5,2,Kota Factory,1,2021-09-24,2021,3,3,"In a city of coaching centers known to train India’s finest collegiate minds, an earnest but unexceptional student and his friends navigate campus life."
s6,2,Midnight Mass,4,2021-09-24,2021,3,4,"The arrival of a charismatic young priest brings glorious miracles, ominous mysteries and renewed religious fervor to a dying town desperate to believe."
s7,1,My Little Pony: A New Generation,5,2021-09-24,2021,4,5,"Equestria's divided. But a bright-eyed hero believes Earth Ponies, Pegasi and Unicorns should be pals — and, hoof to heart, she’s determined to prove it."
s8,1,Sankofa,7,2021-09-24,1993,3,6,"On a photo shoot in Ghana, an American model slips back in time, becomes enslaved on a plantation and bears witness to the agony of her ancestral past."
s9,2,The Great British Baking Show,8,2021-09-24,2021,5,7,"A talented batch of amateur bakers face off in a 10-week competition, whipping up their best dishes in the hopes of being named the U.K.'s best."
s10,1,The Starling,9,2021-09-24,2021,2,8,A woman adjusting to life after a loss contends with a feisty bird that's taken over her garden — and a husband who's struggling to find a way forward.
s11,2,"Vendetta: Truth, Lies and The Mafia",1,2021-09-24,2021,3,4,"Sicily boasts a bold ""Anti-Mafia"" coalition. But what happens when those trying to bring down organized crime are accused of being criminals themselves?"
s12,2,Bangkok Breaking,10,2021-09-23,2021,3,4,"Struggling to earn a living in Bangkok, a man joins an emergency rescue service and realizes he must unravel a citywide conspiracy."
s13,1,Je Suis Karl,11,2021-09-23,2021,3,9,"After most of her family is murdered in a terrorist bombing, a young woman is unknowingly lured into joining the very group that killed them."
s14,1,Confessions of an Invisible Girl,12,2021-09-22,2021,6,5,"When the clever but socially-awkward Tetê joins a new school, she'll do anything to fit in. But the queen bee among her classmates has other ideas."
s15,2,Crime Stories: India Detectives,1,2021-09-22,2021,3,4,Cameras following Bengaluru police on the job offer a rare glimpse into the complex and challenging inner workings of four major crime investigations.
s16,2,Dear White People,1,2021-09-22,2021,3,10,"Students of color navigate the daily slights and slippery politics of life at an Ivy League college that's not nearly as ""post-racial"" as it thinks."
s17,1,Europe's Most Dangerous Man: Otto Skorzeny in Spain,13,2021-09-22,2020,3,11,"Declassified documents reveal the post-WWII life of Otto Skorzeny, a close Hitler ally who escaped to Spain and became an adviser to world presidents."
s18,2,Falsa identidad,1,2021-09-22,2020,3,3,Strangers Diego and Isabel flee their home in Mexico and pretend to be a married couple to escape his drug-dealing enemies and her abusive husband.
s19,1,Intrusion,15,2021-09-22,2021,5,12,"After a deadly home invasion at a couple’s new dream house, the traumatized wife searches for answers — and learns the real danger is just beginning."
s20,2,Jaguar,1,2021-09-22,2021,3,4,"In the 1960s, a Holocaust survivor joins a group of self-trained spies who seek justice against Nazis fleeing to Spain to hide after WWII."
s21,2,Monsters Inside: The 24 Faces of Billy Milligan,16,2021-09-22,2021,5,4,"In the late 1970s, an accused serial rapist claims multiple personalities control his behavior, setting off a legal odyssey that captivates America."
s22,2,Resurrection: Ertugrul,1,2021-09-22,2018,5,13,"When a good deed unwittingly endangers his clan, a 13th-century Turkish warrior agrees to fight a sultan's enemies in exchange for new tribal land."
s23,1,Avvai Shanmughi,17,2021-09-21,1996,6,14,"Newly divorced and denied visitation rights with his daughter, a doting father disguises himself as a gray-haired nanny in order to spend time with her."
s24,1,Go! Go! Cory Carson: Chrissy Takes the Wheel,18,2021-09-21,2021,7,15,"From arcade games to sled days and hiccup cures, Cory Carson’s curious little sister Chrissy speeds off on her own for fun and adventure all over town!"
s25,1,Jeans,20,2021-09-21,1998,5,16,"When the father of the man she loves insists that his twin sons marry twin sisters, a woman creates an alter ego that might be a bit too convincing."
s26,2,Love on the Spectrum,1,2021-09-21,2021,5,3,"Finding love can be hard for anyone. For young adults on the autism spectrum, exploring the unpredictable world of dating is even more complicated."
s27,1,Minsara Kanavu,21,2021-09-21,1997,6,17,A tangled love triangle ensues when a man falls for a woman studying to become a nun — and she falls for the friend he enlists to help him pursue her.
s28,1,Grown Ups,22,2021-09-20,2010,2,18,"Mourning the loss of their beloved junior high basketball coach, five middle-aged pals reunite at a lake house and rediscover the joys of being a kid."
s29,1,Dark Skies,23,2021-09-19,2013,2,19,"A family’s idyllic suburban life shatters when an alien force invades their home, and as they struggle to convince others of the deadly threat."
s30,1,Paranoia,24,2021-09-19,2013,2,20,"Blackmailed by his company's CEO, a low-level employee finds himself forced to spy on the boss's rival and former mentor."
s31,1,Ankahi Kahaniya,25,2021-09-17,2021,5,21,"As big city life buzzes around them, lonely souls discover surprising sources of connection and companionship in three tales of love, loss and longing."
s32,2,Chicago Party Aunt,1,2021-09-17,2021,3,4,Chicago Party Aunt Diane is an idolized troublemaker with a talent for avoiding adulthood — and a soft spot for her soul-searching nephew.
s33,2,Sex Education,1,2021-09-17,2020,3,22,"Insecure Otis has all the answers when it comes to sex advice, thanks to his therapist mom. So rebel Maeve proposes a school sex-therapy clinic."
s34,2,Squid Game,1,2021-09-17,2021,3,4,"Hundreds of cash-strapped players accept a strange invitation to compete in children's games. Inside, a tempting prize awaits — with deadly high stakes."
s35,2,Tayo and Little Wizards,1,2021-09-17,2020,8,4,Tayo speeds into an adventure when his friends get kidnapped by evil magicians invading their city in search of a magical gemstone.
s36,1,The Father Who Moves Mountains,28,2021-09-17,2021,3,23,"When his son goes missing during a snowy hike in the mountains, a retired intelligence officer will stop at nothing — and risk everything — to find him."
s37,1,The Stronghold,29,2021-09-17,2021,3,24,"Tired of the small-time grind, three Marseille cops get a chance to bust a major drug network. But lines blur when a key informant makes a big ask."
s38,2,Angry Birds,1,2021-09-16,2018,8,4,"Birds Red, Chuck and their feathered friends have lots of adventures while guarding eggs in their nest that pesky pigs keep trying to steal."
s39,1,Birth of the Dragon,30,2021-09-16,2017,2,25,"A young Bruce Lee angers kung fu traditionalists by teaching outsiders, leading to a showdown with a Shaolin master in this film based on real events."
s40,2,Chhota Bheem,1,2021-09-16,2021,8,22,"A brave, energetic little boy with superhuman powers leads his friends on exciting adventures to guard their fellow Dholakpur villagers from evil."
s41,2,He-Man and the Masters of the Universe,1,2021-09-16,2021,8,4,Mighty teen Adam and his heroic squad of misfits discover the legendary power of Grayskull — and their destiny to defend Eternia from sinister Skeletor.
